"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","FRGT","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-21",,,,,,,"0.20","0.0","0.0",,"52","32",,,,,,,,,,,"    1",,,,"    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-22",,,,,,,"0.04","0.0","0.0",,"55","33",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-23",,,,,,,"0.08","0.0","0.0",,"53","43",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-24",,,,,,,"0.11","0.0","0.0",,"51","41",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-25",,,,,,,"0.35","0.0","0.0",,"63","33",,,,,,,,,,,"    1",,,,"    1",,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-26",,,,,,,"0.00","0.0","0.0",,"67","43",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-27",,,,,,,"0.00","0.0","0.0",,"71","41",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-28",,,,,,,"0.00","0.0","0.0",,"64","48",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-29",,,,,,,"0.00","0.0","0.0",,"57","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-30",,,,,,,"0.00","0.0","0.0",,"70","40",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-01",,,,,,,"0.00","0.0","0.0",,"65","41",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-02",,,,,,,"0.00","0.0","0.0",,"60","40",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-03",,,,,,,"0.11","0.0","0.0",,"57","36",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-04",,,,,,,"0.00","0.0","0.0",,"60","41",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-05",,,,,,,"0.00","0.0","0.0",,"69","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-06",,,,,,,"0.38","0.0","0.0",,"62","49",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-07",,,,,,,"0.01","0.0","0.0",,"61","37",,,,,,,,,,,,,,,"    1",,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-08",,,,,,,"0.00","0.0","0.0",,"63","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-09",,,,,,,"0.00","0.0","0.0",,"81","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-10",,,,,,,"0.26","0.0","0.0",,"69","55",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-11",,,,,,,"0.31","0.0","0.0",,"61","53",,,,,,,,,,,"    1",,,,,,,"    1",,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-12",,,,,,,"0.26","0.0","0.0",,"62","46",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-13",,,,,,,"0.05","0.0","0.0",,"62","45",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-14",,,,,,,"0.00","0.0","0.0",,"62","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-15",,,,,,,"0.00","0.0","0.0",,"63","34",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-16",,,,,,,"0.21","0.0","0.0",,"58","43",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-17",,,,,,,"0.14","0.0","0.0",,"56","42",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-05-18",,,,,,,"0.00","0.0","0.0",,"62","37",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
